School;Year 12
Albert Park College;240
Alexandra Secondary College;41
Alkira Secondary College;239,8
Altona College;26,8
Apollo Bay P-12 College;18
Ararat Secondary College;29,2
Ashwood High School;71
Auburn High School;83,8
Bacchus Marsh College;98,5
Baimbridge College;30,3
Bairnsdale Secondary College;107
Ballarat High School;200,7
Balmoral K-12 Community College;1
Balwyn High School;377,3
Bannockburn P-12 College;34
Bass Coast College;166,3
Bayside P-12 College;116
Bayswater Secondary College;19
Beaufort Secondary College;25,8
Beaumaris Secondary College;133
Beechworth Secondary College;22,6
Bellarine Secondary College;147,7
Belmont High School;201,4
Benalla P-12 College;32
Bendigo Senior Secondary College;683,1
Bentleigh Secondary College;129,4
Berwick Secondary College;233,5
Birchip P-12 School;10
Blackburn High School;168
Boort District P-12 School;18,5
Boronia K-12 College;72
Box Hill High School;224,8
Box Hill Senior Secondary College;87
Brauer Secondary College;105
Braybrook College;188
Brentwood Secondary College;238,2
Bright P-12 College;21,5
Brighton Secondary College;152,9
Broadford Secondary College;77,9
Brunswick Secondary College;145,6
Buckley Park College;147,5
Bundoora Secondary College;42
Camberwell High School;168
Camperdown College;16,8
Cann River P-12 College;2
Canterbury Girls Secondary College;144,7
Carrum Downs Secondary College;91
Carwatha College P-12;46,6
Casterton Secondary College;13,6
Castlemaine Secondary College;82,8
Centre for Higher Education Studies;9
Charles La Trobe P-12 College;128,4
Charlton College;11,7
Cheltenham Secondary College;132
Cobden Technical School;7,8
Cobram Secondary College;36,4
Coburg High School;151,7
Cohuna Secondary College;18
Colac Secondary College;45,4
Collingwood College;72,3
Copperfield College;304,9
Corryong College;19,7
Craigieburn Secondary College;158,1
Cranbourne East Secondary College;232
Cranbourne Secondary College;184
Croydon Community School;26
Dandenong High School;216
Daylesford Secondary College;56,6
Derrinallum P-12 College;5
Diamond Valley College;81,4
Dimboola Memorial Secondary College;15,6
Donald High School;6
Doncaster Secondary College;235
Dromana Secondary College;226
Drouin Secondary College;134
East Doncaster Secondary College;255
East Loddon P-12 College;15
Echuca College;79,6
Edenhope College;9,7
Edgars Creek Secondary College;108
Elisabeth Murdoch College;209
Eltham High School;184
Elwood College;148,9
Emerald Secondary College;86
Epping Secondary College;164
Essendon Keilor College;87
Euroa Secondary College;39
Fairhills High School;49,6
Fitzroy High School;142,6
Footscray High School;212
Forest Hill College;67
Foster Secondary College;41,9
Fountain Gate Secondary College;192
Frankston High School;290,5
Geelong High School;111,8
Gisborne Secondary College;139,6
Gladstone Park Secondary College;206
Glen Eira College;99,2
Glen Waverley Secondary College;310,9
Gleneagles Secondary College;233,5
Glenroy Secondary College;48
Goroke P-12 College;2,4
Greater Shepparton Secondary College;269
Greensborough Secondary College;38,7
Grovedale College;107,6
Hallam Secondary College;124
Hampton Park Secondary College;157,2
Hawkesdale P12 College;21,4
Hazel Glen College;203,5
Healesville High School;47,7
Heathmont College;98,4
Heywood District Secondary College;6,9
Highvale Secondary College;147,4
Homestead Senior Secondary College;79
Hopetoun P-12 College;5,6
Hoppers Crossing Secondary College;201
Horsham College;148
Hume Central Secondary College;145
John Fawkner Secondary College;38
John Monash Science School;233,5
Kambrya College;233,3
Kaniva College;5
Keilor Downs Secondary College;179
Kensington Community High School;16
Kerang Technical High School;17,3
Kew High School;189,8
Keysborough Secondary College;292,7
Koo Wee Rup Secondary College;148,2
Koonung Secondary College;165,4
Korumburra Secondary College;32,6
Kurnai College;151,7
Kurunjang Secondary College;99,9
Kyabram P-12 College;60,4
Kyneton High School;71,5
Lakes Entrance Secondary College;17,8
Lakeview Senior College;300
Lalor North Secondary College;52
Lalor Secondary College;162
Lara Secondary College;95
Lavers Hill K-12 College;8
Laverton P-12 College;54
Leongatha Secondary College;68,8
Lilydale Heights College;65,7
Lilydale High School;135,2
Lorne P-12 College;9
Lowanna College;95
Lynall Hall Community School;16
Lyndale Secondary College;128,9
Lyndhurst Secondary College;97
Macleod College;52,4
MacRobertson Girls High School;295,4
Maffra Secondary College;56
Mallacoota P-12 College;4
Manangatang P-12 College;1
Manor Lakes P-12 College;183,3
Mansfield Secondary College;42,3
Maribyrnong Secondary College;164
Maryborough Education Centre;67,9
Matthew Flinders Girls Secondary College;66,7
McClelland Secondary College;129,9
McKinnon Secondary College;366,8
Melba Secondary College;64,4
Melbourne Girls College;218,3
Melbourne High School;362,7
Melton Secondary College;169
Mentone Girls Secondary College;131,6
Mernda Central P-12 College;92
Mildura Senior College;365,5
Mill Park Secondary College;199
Mirboo North Secondary College;40,4
Monbulk College;58,9
Monterey Secondary College;25
Montmorency Secondary College;190,6
Mooroolbark College;130,6
Mordialloc College;160,2
Mornington Secondary College;233,4
Mortlake P-12 College;12
Mount Alexander 7-12 College;67,8
Mount Beauty Secondary College;28,8
Mount Clear College;103,7
Mount Eliza Secondary College;82
Mount Erin Secondary College;74,8
Mount Ridley P-12 College;249
Mount Rowan Secondary College;42,8
Mount Waverley Secondary College;276,9
Mullauna Secondary College;58,1
Murrayville Community College;6,8
Murtoa College;19,8
Myrtleford P-12 College;18,8
Narre Warren South P-12 College;289,7
Nathalia Secondary College;16
Neerim District Secondary College;7
Newcomb Secondary College;33
Nhill College;22,4
Noble Park Secondary College;68
North Geelong Secondary College;103
Northcote High School;277
Northern Bay P-12 College;57,9
Northern College of the Arts and Technology;150,2
Norwood Secondary College;124,6
Nossal High School;207,3
Numurkah Secondary College;18
Oakwood School;122,8
Oberon High School;93,4
Officer Secondary College;130
Orbost Secondary College;20,2
Ouyen P-12 College;12,8
Pakenham Secondary College;79,6
Parkdale Secondary College;276,9
Pascoe Vale Girls Secondary College;135
Patterson River Secondary College;168,8
Peter Lalor Secondary College;39
Phoenix P-12 Community College;106
Point Cook Senior Secondary College;207,2
Portland Secondary College;57,2
Princes Hill Secondary College;143
Rainbow P-12 College;7
Red Cliffs Secondary College;27,7
Reservoir High School;91,7
Richmond High School;82,9
Ringwood Secondary College;248
Robinvale College;22,2
Rochester Secondary College;34,8
Rosebud Secondary College;121
Rosehill Secondary College;168
Rowville Secondary College;263,8
Roxburgh College;172
Rushworth P-12 College;8,6
Rutherglen High School;18,2
Sale College;98,6
Sandringham College;137,2
Scoresby Secondary College;33
Seymour College;58
Sherbrooke Community School;16
Somerville Secondary College;24,8
South Oakleigh Secondary College;63,7
Springside West Secondary College;144
St Albans Secondary College;210
St Arnaud Secondary College;15,8
St Helena Secondary College;223,8
Staughton College;191,8
Stawell Secondary College;52,7
Strathmore Secondary College;303
Sunbury College;148,7
Sunbury Downs Secondary College;73
Sunshine College;157
Surf Coast Secondary College;138,9
Suzanne Cory High School;227
Swan Hill College;91,8
Swifts Creek P-12 School;9,9
Swinburne Senior Secondary College;215
Sydney Road Community School;22,9
Tallangatta Secondary College;36,5
Tarneit Senior College;333,8
Taylors Lakes Secondary College;209
Templestowe College;198,5
Terang College;9,7
The Grange P-12 College;138,8
The Lakes South Morang College;30
Thomastown Secondary College;82
Thornbury High School;149,6
Timboon P-12 School;29,2
Trafalgar High School;77
Traralgon College;101,4
Tyrrell College;10,8
University High School;304,8
Upper Yarra Secondary College;65,5
Upwey High School;109,8
Vermont Secondary College;264,2
Victoria University Secondary College;120
Victorian College Of The Arts Secondary School;89,3
Viewbank College;207,7
Virtual School Victoria;776,1
Wallan Secondary College;65,3
Wangaratta High School;46,1
Wantirna College;203
Warracknabeal Secondary College;20
Warragul Regional College;95
Warrandyte High School;55,7
Warrnambool College;182,3
Wedderburn College;12,7
Weeroona College Bendigo;12
Wellington Secondary College;242,4
Werribee Secondary College;229,4
Westall Secondary College;92,9
Western Heights Secondary College;64,5
Western Port Secondary College;78
Wheelers Hill Secondary College;111,7
Whittlesea Secondary College;93,3
William Ruthven Secondary College;41
Williamstown High School;224,8
Wodonga Senior Secondary College;312,8
Woodmans Hill Secondary College;45,7
Wycheproof P-12 College;11,1
Wyndham Central Secondary College;176,7
Yarra Hills Secondary College;103
Yarram Secondary College;52,4
Yarrawonga College P-12;54
Yea High School;38,7
Yuille Park P-8 Community College;34
