School;Location;Median_VCE_Score
Albert Park College;Albert Park;31
Alexandra Secondary College;Alexandra;23
Alkira Secondary College;Cranbourne North;29
Altona College;Altona;28
Apollo Bay P-12 College;Apollo Bay;31
Ashwood High School;Ashwood;32
Auburn High School;Hawthorn East;31
Bacchus Marsh College;Bacchus Marsh;25
Baimbridge College;Hamilton;24
Bairnsdale Secondary College;Bairnsdale;26
Ballarat High School;Ballarat;29
Balwyn High School;Balwyn North;32
Bannockburn P-12 College;Bannockburn;24
Bass Coast College;Wonthaggi;28
Bayswater Secondary College;Bayswater;28
Beaufort Secondary College;Beaufort;26
Beaumaris Secondary College;Beaumaris;29
Beechworth Secondary College;Beechworth;26
Gisborne Secondary College;Gisborne;26
Gladstone Park Secondary College;Gladstone Park;27
Glen Eira College;Caulfield East;32
Glen Waverley Secondary College;Glen Waverley;33
Gleneagles Secondary College;Endeavour Hills;29
Glenroy Secondary College;Glenroy;22
Goroke P-12 College;Goroke;0
Greensborough Secondary College;Greensborough;22
Grovedale College;Grovedale;25
Hallam Secondary College;Hallam;23
Hampton Park Secondary College;Hampton Park;29
Hazel Glen College;Doreen;26
Healesville High School;Healesville;25
Heathmont College;Heathmont;24
Highvale Secondary College;Glen Waverley;29
Homestead Senior Secondary College;Point Cook;29
Hopetoun P-12 College;Hopetoun;24
Hoppers Crossing Secondary College;Hoppers Crossing;27
Horsham College;Horsham;31
John Monash Science School;Clayton;35
Kambrya College;Berwick;31
Kensington Community High School;Kensington;0
Kerang Technical High School;Kerang;23
Kew High School;Kew East;31
Koo Wee Rup Secondary College;Koo Wee Rup;28
Koonung Secondary College;Mont Albert North;32
Korumburra Secondary College;Korumburra;25
Kurunjang Secondary College;Melton;25
Kyneton High School;Kyneton;28
Lakes Entrance Secondary College;Lakes Entrance;24
Lakeview Senior College;Caroline Springs;28
Lalor North Secondary College;Epping;21
Lalor Secondary College;Lalor;25
Lara Secondary College;Lara;25
Lavers Hill K-12 College;Lavers Hill;0
Laverton P-12 College;Laverton;22
Leongatha Secondary College;Leongatha;28
Lilydale Heights College;Lilydale;26
Lilydale High School;Lilydale;28
Lorne P-12 College;Lorne;26
Lowanna College;Newborough;24
Lynall Hall Community School;Richmond;0
Lyndale Secondary College;Dandenong North;29
Lyndhurst Secondary College;Cranbourne;30
Macleod College;Macleod;28
Maffra Secondary College;Maffra;25
Mallacoota P-12 College;Mallacoota;34
Manor Lakes P-12 College;Wyndham Vale;23
Mansfield Secondary College;Mansfield;30
Maribyrnong Secondary College;Maribyrnong;30
Maryborough Education Centre;Maryborough;26
Matthew Flinders Girls Secondary College;Geelong;27
McClelland Secondary College;Frankston;29
McKinnon Secondary College;McKinnon;33
Melba Secondary College;Croydon;29
Melbourne Girls College;Richmond;33
Melbourne High School;South Yarra;36
Melton Secondary College;Melton;24
Mentone Girls Secondary College;Mentone;32
Mernda Central P-12 College;Mernda;28
Mildura Senior College;Mildura;26
Mill Park Secondary College;Epping;26
Mirboo North Secondary College;Mirboo North;27
Monbulk College;Monbulk;25
Monterey Secondary College;Frankston North;25
Montmorency Secondary College;Montmorency;30
Mooroolbark College;Mooroolbark;28
Mordialloc College;Mordialloc;30
Mornington Secondary College;Mornington;27
Mount Alexander 7-12 College;Flemington;29
Mount Beauty Secondary College;Mount Beauty;28
Mount Clear College;Mount Clear;26
Mount Eliza Secondary College;Mount Eliza;29
Mount Ridley P-12 College;Craigieburn;25
Mount Rowan Secondary College;Wendouree;27
Mount Waverley Secondary College;Mount Waverley;31
Murrayville Community College;Murrayville;22
Myrtleford P-12 College;Myrtleford;30
Narre Warren South P-12 College;Narre Warren South;27
Nathalia Secondary College;Nathalia;20
Neerim District Secondary College;Neerim South;23
Newcomb Secondary College;Newcomb;26
Nhill College;Nhill;25
Noble Park Secondary College;Noble Park;25
North Geelong Secondary College;Geelong North;28
Northcote High School;Northcote;31
Northern Bay P-12 College;Corio;23
Norwood Secondary College;Ringwood;28
Nossal High School;Berwick;36
Numurkah Secondary College;Numurkah;22
Oakwood School;Caulfield North;0
Oberon High School;Armstrong Creek;29
Officer Secondary College;Officer;25
Orbost Secondary College;Orbost;27
Pakenham Secondary College;Pakenham;29
Parkdale Secondary College;Mordialloc;29
Pascoe Vale Girls Secondary College;Pascoe Vale;26
Patterson River Secondary College;Seaford;25
Peter Lalor Secondary College;Lalor;0
Phoenix P-12 Community College;Sebastopol;28
Point Cook Senior Secondary College;Point Cook;27
Portland Secondary College;Portland;27
Princes Hill Secondary College;Princes Hill;31
Rainbow P-12 College;Rainbow;23
Red Cliffs Secondary College;Red Cliffs;22
Reservoir High School;Reservoir;26
Richmond High School;Richmond;28
Ringwood Secondary College;Ringwood;30
Robinvale College;Robinvale;22
Rochester Secondary College;Rochester;27
Rosebud Secondary College;Rosebud;28
Rosehill Secondary College;Niddrie;28
Rowville Secondary College;Rowville;26
Roxburgh College;Roxburgh Park;24
Rushworth P-12 College;Rushworth;24
Rutherglen High School;Rutherglen;24
Sale College;Sale;26
Sandringham College;Sandringham;30
Scoresby Secondary College;Scoresby;27
Seymour College;Seymour;25
Sherbrooke Community School;Sassafras;26
Somerville Secondary College;Somerville;28
South Oakleigh Secondary College;Oakleigh South;29
Springside West Secondary College;Fraser Rise;27
St Albans Secondary College;St Albans;31
St Arnaud Secondary College;St Arnaud;28
St Helena Secondary College;Eltham North;29
Staughton College;Melton South;23
Stawell Secondary College;Stawell;23
Strathmore Secondary College;Strathmore;30
Sunbury College;Sunbury;27
Sunbury Downs Secondary College;Sunbury;29
Sunshine College;Sunshine West;25
Surf Coast Secondary College;Torquay;29
Suzanne Cory High School;Werribee;35
Swan Hill College;Swan Hill;28
Swifts Creek P-12 School;Swifts Creek;31
Swinburne Senior Secondary College;Hawthorn;27
Sydney Road Community School;Brunswick;0
Tallangatta Secondary College;Tallangatta;26
Tarneit Senior College;Tarneit;23
Taylors Lakes Secondary College;Taylors Lakes;27
Templestowe College;Templestowe Lower;29
The Grange P-12 College;Hoppers Crossing;25
The Lakes South Morang College;South Morang;24
Thomastown Secondary College;Thomastown;25
Thornbury High School;Thornbury;31
Timboon P-12 School;Timboon;28
Trafalgar High School;Trafalgar;27
Traralgon College;Traralgon;25
Tyrrell College;Sea Lake;25
University High School;Parkville;31
Upper Yarra Secondary College;Yarra Junction;25
Upwey High School;Upwey;27
Vermont Secondary College;Vermont;32
Viewbank College;Viewbank;31
Virtual School Victoria;Thornbury;26
Wallan Secondary College;Wallan;21
Wangaratta High School;Wangaratta;28
Wantirna College;Wantirna;29
Warracknabeal Secondary College;Warracknabeal;26
Warragul Regional College;Warragul;25
Warrandyte High School;Warrandyte;24
Warrnambool College;Warrnambool;28
Wedderburn College;Wedderburn;28
Wellington Secondary College;Mulgrave;28
Werribee Secondary College;Werribee;28
Westall Secondary College;Clayton South;27
Western Port Secondary College;Hastings;25
Wheelers Hill Secondary College;Wheelers Hill;26
Whittlesea Secondary College;Whittlesea;22
William Ruthven Secondary College;Reservoir;27
Williamstown High School;Williamstown;32
Wodonga Senior Secondary College;Wodonga;23
Woodmans Hill Secondary College;Ballarat East;29
Wycheproof P-12 College;Wycheproof;29
Wyndham Central Secondary College;Werribee;24
Yarram Secondary College;Yarram;26
Yarrawonga College P-12;Yarrawonga;26
Yea High School;Yea;25
