Year;School;Location;Median_VCE_Score
2023;Academy of Mary Immaculate;Fitzroy;31
2023;Adass Israel School Elsternwick;Elsternwick;0
2023;Adass Israel School St Kilda East;St Kilda East;0
2023;Advance College of Education;Rosebud;0
2023;Aitken College;Greenvale;28
2023;Al Iman College;Melton South;29
2023;Al Siraat College;Epping;32
2023;Al-Taqwa College Islamic Schools of Vic;Truganina;31
2023;Albert Park College;Albert Park;31
2023;Albury Wodonga Community College;Wodonga;0
2023;Alexandra Secondary College;Alexandra;23
2023;Alia College;Hawthorn East;24
2023;Alice Miller School Macedon;Macedon;34
2023;Alkira Secondary College;Cranbourne North;29
2023;Alphington Grammar School;Alphington;33
2023;Altona College;Altona;28
2023;Antonine College Senior Campus;Pascoe Vale South;26
2023;Apollo Bay P-12 College;Apollo Bay;31
2023;Aquinas College;Ringwood;31
2023;Ararat College;Ararat;27
2023;Armstrong Creek School;Armstrong Creek;0
2023;Ashwood High School;Ashwood;32
2023;Assumption College;Kilmore;27
2023;Auburn High School;Hawthorn East;31
2023;Australian International Academy Caroline Springs;Caroline Springs;27
2023;Australian International Academy Coburg;North Coburg;24
2023;Ave Maria College;Aberfeldie;31
2023;Avila College;Mount Waverley;31
2023;Bacchus Marsh College;Bacchus Marsh;25
2023;Bacchus Marsh Grammar;Bacchus Marsh;32
2023;Baimbridge College;Hamilton;24
2023;Bairnsdale Secondary College;Bairnsdale;26
2023;Balcombe Grammar School;Mount Martha;30
2023;Ballarat Christian College;Sebastopol;29
2023;Ballarat Clarendon College;Ballarat;39
2023;Ballarat Grammar School;Wendouree;32
2023;Ballarat High School;Ballarat;29
2023;Balmoral Community College;Balmoral;0
2023;Balwyn High School;Balwyn North;32
2023;Bannockburn P-12 College;Bannockburn;24
2023;Bass Coast College;Wonthaggi;28
2023;Bayside Christian College;Langwarrin South;28
2023;Bayside College Paisley Campus;Newport;28
2023;Bayswater Secondary College;Bayswater;28
2023;Bayview College;Portland;28
2023;Beaconhills College Berwick;Berwick;29
2023;Beaconhills College Pakenham;Pakenham;29
2023;Beaufort Secondary College;Beaufort;26
2023;Beaumaris Secondary College;Beaumaris;29
2023;Beechworth Secondary College;Beechworth;26
2023;Gilson College Mernda Campus;Mernda;26
2023;Gilson College Taylors Hill;Taylors Hill;27
2023;Gippsland Grammar;Sale;31
2023;Girton Grammar School;Bendigo;33
2023;Gisborne Secondary College;Gisborne;26
2023;Gladstone Park Secondary College;Gladstone Park;27
2023;Glen Eira College;Caulfield East;32
2023;Glen Waverley Secondary College;Glen Waverley;33
2023;Gleneagles Secondary College;Endeavour Hills;29
2023;Glenroy Private;Glenroy;22
2023;Glenroy Secondary College;Glenroy;22
2023;Good News Lutheran College;Tarneit;29
2023;Good Shepherd College;Hamilton;25
2023;Gordon Institute of TAFE;Geelong;22
2023;Goroke P-12 College;Goroke;0
2023;Goulburn Ovens Institute of TAFE;Shepparton;0
2023;Goulburn Valley Grammar School;Shepparton;35
2023;Grace Christian College Wodonga;Leneva;0
2023;Greater Shepparton Secondary College Hawdon St Campus;Shepparton;N/A
2023;Greater Shepparton Secondary College Wanganui Campus;Shepparton;22
2023;Greek Orthodox Community of Melbourne and Victoria;Melbourne;N/A
2023;Greensborough Secondary College;Greensborough;22
2023;Grovedale College;Grovedale;25
2023;Haileybury Chengdu Shude High School;Chengdu, China;N/A
2023;Haileybury College;Keysborough;35
2023;Haileybury College Tianjin Campus;Tianjin, China;N/A
2023;Haileybury Dili International School;Dili, Timor-Leste;N/A
2023;Haileybury Girls College;Keysborough;36
2023;Haileybury Ningbo Li Hui Li High School;Ningbo, China;N/A
2023;Haileybury Pangea Campus;Keysborough;N/A
2023;Haileybury Rendall School;Berrimah, NT;32
2023;Haileybury Wuhan Foreign Language School;Wuhan, China;N/A
2023;Hallam Secondary College;Hallam;23
2023;Hampton Park Secondary College;Hampton Park;29
2023;Hawkesdale College;Hawkesdale;20
2023;Hazel Glen College;Doreen;26
2023;Healesville High School;Healesville;25
2023;Heathdale Christian College;Werribee;31
2023;Heatherton Christian College;Clarinda;30
2023;Heathmont College;Heathmont;24
2023;Heritage College Officer;Officer;25
2023;Hester Hornbrook Academy;Melbourne;0
2023;Heywood and District Secondary College;Heywood;27
2023;Highvale Secondary College;Glen Waverley;29
2023;Highview Christian Community College;Maryborough;27
2023;Hillcrest Christian College;Clyde North;30
2023;Holmes Grammar School;Melbourne;29
2023;Holmesglen Institute of TAFE Moorabbin;Moorabbin;0
2023;Holy Trinity Lutheran College;Horsham;29
2023;Homestead Senior Secondary College;Point Cook;29
2023;Hopetoun P-12 College;Hopetoun;24
2023;Hoppers Crossing Secondary College;Hoppers Crossing;27
2023;Horsham College;Horsham;31
2023;Hume Anglican Grammar;Mickleham;30
2023;Hume Central Secondary College Town Park;Broadmeadows;26
2023;Huntingtower School;Mount Waverley;37
2023;Ilim College Kiewa Campus Dallas;Dallas;24
2023;Ilim College of Australia;Broadmeadows;29
2023;Iona College Geelong;Charlemont;0
2023;Iranian Cultural School;Doncaster East;N/A
2023;Irymple Secondary College;Irymple;0
2023;Islamic College of Melbourne;Tarneit;31
2023;Ivanhoe Girls Grammar School;Ivanhoe;34
2023;Ivanhoe Grammar School Plenty;Doreen;33
2023;Ivanhoe Grammar School Ridgeway;Ivanhoe;33
2023;John Fawkner College;Fawkner;21
2023;John Monash Science School;Clayton;35
2023;John Paul College;Frankston;29
2023;Kambrya College;Berwick;31
2023;Kangan Institute of TAFE;Broadmeadows;0
2023;Kaniva P-12 College;Kaniva;25
2023;Kardinia International College;Bell Post Hill;32
2023;Keilor Downs College;Keilor Downs;30
2023;Kensington Community High School;Kensington;0
2023;Kerang Christian College;Kerang;28
2023;Kerang Technical High School;Kerang;23
2023;Kew High School;Kew East;31
2023;Keysborough Secondary College Acacia;Keysborough;27
2023;Keysborough Secondary College Banksia;Springvale South;26
2023;Kilbreda College;Mentone;31
2023;Killester College;Springvale;30
2023;Kilvington Grammar School;Ormond;33
2023;Kings College;Warrnambool;30
2023;Kingswood College;Box Hill;31
2023;Kolbe Catholic College;Greenvale Lakes;25
2023;Koo Wee Rup Secondary College;Koo Wee Rup;28
2023;Koonung Secondary College;Mont Albert North;32
2023;Korean Language School of Melbourne;Prahran;N/A
2023;Korowa Anglican Girls School;Glen Iris;36
2023;Korumburra Secondary College;Korumburra;25
2023;Kurnai College Churchill Campus;Churchill;26
2023;Kurnai College University Campus;Churchill;N/A
2023;Kurunjang Secondary College;Melton;25
2023;Kyabram Secondary College;Kyabram;24
2023;Kyneton High School;Kyneton;28
2023;Lac Hong Vietnamese School St Albans;St Albans;N/A
2023;Lakes Entrance Secondary College;Lakes Entrance;24
2023;Lakeside Lutheran College;Pakenham;25
2023;Lakeview Senior College;Caroline Springs;28
2023;Lalor North Secondary College;Epping;21
2023;Lalor Secondary College;Lalor;25
2023;Lara Secondary College;Lara;25
2023;Lauriston Girls School;Armadale;34
2023;Lavalla Catholic College;Traralgon;30
2023;Lavers Hill K-12 College;Lavers Hill;0
2023;Laverton P-12 College;Laverton;22
2023;Leibler Yavneh College;Elsternwick;36
2023;Leongatha Secondary College;Leongatha;28
2023;Lighthouse Christian College;Keysborough;29
2023;Lighthouse Christian College Cranbourne;Cranbourne;31
2023;Lilydale Heights College;Lilydale;26
2023;Lilydale High School;Lilydale;28
2023;Little Yarra Steiner School;Yarra Junction;31
2023;Loreto College;Ballarat;31
2023;Loreto Mandeville Hall;Toorak;36
2023;Lorne P-12 College;Lorne;26
2023;Lowanna College;Newborough;24
2023;Lowther Hall Anglican Grammar School;Essendon;34
2023;Loyola College;Watsonia;30
2023;Luther College;Croydon Hills;32
2023;Lynall Hall Community School;Richmond;0
2023;Lyndale Secondary College;Dandenong North;29
2023;Lyndhurst Secondary College;Cranbourne;30
2023;MacKillop Catholic Regional College;Werribee;31
2023;Macleod College;Macleod;28
2023;Macrobertson Girls High School;Melbourne;36
2023;Maffra Secondary College;Maffra;25
2023;Mallacoota P-12 College;Mallacoota;34
2023;Manor Lakes P-12 College;Wyndham Vale;23
2023;Mansfield Secondary College;Mansfield;30
2023;Maranatha Christian School;Endeavour Hills;31
2023;Marcellin College;Bulleen;31
2023;Marian College Ararat;Ararat;29
2023;Marian College Myrtleford;Myrtleford;30
2023;Marian College Sunshine West;Sunshine West;29
2023;Maribyrnong Secondary College;Maribyrnong;30
2023;Marist College Bendigo;Maiden Gully;27
2023;Marist Sion College;Warragul;27
2023;Mary MacKillop Catholic College;Leongatha;30
2023;Maryborough Education Centre;Maryborough;26
2023;Marymede Catholic College;South Morang;29
2023;Mater Christi College;Belgrave;31
2023;Matthew Flinders Girls Secondary College;Geelong;27
2023;Mazenod College;Mulgrave;32
2023;McClelland Secondary College;Frankston;29
2023;McKinnon Secondary College;McKinnon;33
2023;Melba Secondary College;Croydon;29
2023;Melbourne Girls College;Richmond;33
2023;Melbourne Girls Grammar;South Yarra;34
2023;Melbourne Grammar School;Melbourne;35
2023;Melbourne High School;South Yarra;36
2023;Melbourne International School of Japanese;Oakleigh South;N/A
2023;Melbourne Polytechnic;Preston;0
2023;Melbourne Rudolf Steiner School;Warranwood;30
2023;Melbourne Swedish Community School Association;Toorak;N/A
2023;Melton Christian College;Brookfield;27
2023;Melton Secondary College;Melton;24
2023;Mentone Girls Grammar School;Mentone;36
2023;Mentone Girls Secondary College;Mentone;32
2023;Mentone Grammar School;Mentone;35
2023;Merbein P-10 College;Merbein;0
2023;Mercy College;Coburg;29
2023;Mercy Regional College;Camperdown;29
2023;Mernda Central P-12 College;Mernda;28
2023;Methodist Ladies College;Kew;33
2023;Michelle Rae School of Dance;Mount Waverley;N/A
2023;Mildura Senior College;Mildura;26
2023;Mill Park Secondary College;Epping;26
2023;Minaret College Officer;Officer;26
2023;Minaret College Springvale;Springvale;25
2023;Mirboo North Secondary College;Mirboo North;27
2023;Monbulk College;Monbulk;25
2023;Monivae College;Hamilton;27
2023;Monterey Secondary College;Frankston North;25
2023;Montmorency Secondary College;Montmorency;30
2023;Mooroolbark College;Mooroolbark;28
2023;Mordialloc College;Mordialloc;30
2023;Mornington Secondary College;Mornington;27
2023;Mortlake College;Mortlake;31
2023;Mount Alexander 7-12 College;Flemington;29
2023;Mount Beauty Secondary College;Mount Beauty;28
2023;Mount Clear College;Mount Clear;26
2023;Mount Eliza Secondary College;Mount Eliza;29
2023;Mount Erin College;Frankston South;26
2023;Mount Evelyn Christian School;Mount Evelyn;31
2023;Mount Hira College;Keysborough;28
2023;Mount Lilydale Mercy College;Lilydale;29
2023;Mount Ridley P-12 College;Craigieburn;25
2023;Mount Rowan Secondary College;Wendouree;27
2023;Mount Scopus Memorial College;Burwood;37
2023;Mount St Joseph Girls College;Altona;30
2023;Mount Waverley Secondary College;Mount Waverley;31
2023;Mountain District Community College;Ferntree Gully;0
2023;Mullauna College;Mitcham;31
2023;Murrayville Community College;Murrayville;22
2023;Murtoa P-12 College;Murtoa;26
2023;Myrtleford P-12 College;Myrtleford;30
2023;Nagle College;Bairnsdale;28
2023;Narre Warren South P-12 College;Narre Warren South;27
2023;Nathalia Secondary College;Nathalia;20
2023;Nazareth College;Noble Park North;28
2023;Neerim District Secondary College;Neerim South;23
2023;Nestoras College Doncaster;Doncaster;N/A
2023;New Chinese Language and Culture School Thornbury;Thornbury;N/A
2023;Newcomb Secondary College;Newcomb;26
2023;Newhaven College;Rhyll;29
2023;Nhill College;Nhill;25
2023;Noble Park Secondary College;Noble Park;25
2023;North Geelong Secondary College;Geelong North;28
2023;Northcote High School;Northcote;31
2023;Northern Bay P-12 College;Corio;23
2023;Northern College of Arts and Technology;Preston;28
2023;Northside Christian College;Bundoora;28
2023;Norwood Secondary College;Ringwood;28
2023;Nossal High School;Berwick;36
2023;Notre Dame College;Shepparton;27
2023;Numurkah Secondary College;Numurkah;22
2023;Nunawading Christian College;Nunawading;30
2023;Oakleigh Grammar;Oakleigh;30
2023;Oakwood School;Caulfield North;0
2023;Oberon High School;Armstrong Creek;29
2023;Officer Secondary College;Officer;25
2023;Omiros College Pascoe Vale South;Pascoe Vale South;N/A
2023;OneSchool Global Vic;Melton West;32
2023;Orbost Secondary College;Orbost;27
2023;Our Lady of Mercy College;Heidelberg;32
2023;Our Lady of Sacred Heart College;Bentleigh;31
2023;Our Lady of Sion College;Box Hill;33
2023;Ouyen Secondary College;Ouyen;33
2023;Overnewton Anglican College;Keilor;32
2023;Oxley Christian College;Chirnside Park;33
2023;Padua College;Mornington;28
2023;Pakenham Secondary College;Pakenham;29
2023;Parade College;Bundoora;30
2023;Parkdale Secondary College;Mordialloc;29
2023;Parkville College;Parkville;0
2023;Pascoe Vale Girls Secondary College;Pascoe Vale;26
2023;Patterson River Secondary College;Seaford;25
2023;Peninsula Grammar;Mount Eliza;31
2023;Peninsula Grammar Pudong Foreign Language School;Shanghai, China;N/A
2023;Penleigh and Essendon Grammar School;Keilor East;34
2023;Penola Catholic College;Broadmeadows;27
2023;Peter Lalor Secondary College;Lalor;0
2023;Phoenix P-12 Community College;Sebastopol;28
2023;Plenty River College;South Morang;0
2023;Plenty Valley Christian College;Doreen;30
2023;Point Cook Senior Secondary College;Point Cook;27
2023;Portland Secondary College;Portland;27
2023;Prahran High School;Windsor;32
2023;Presbyterian Ladies College;Burwood;35
2023;Preshil The Margaret Lyttle Memorial School;Kew;0
2023;Preston High School;Preston;32
2023;Preston Reservoir Adult Community Education;Reservoir;0
2023;Princes Hill Secondary College;Princes Hill;31
2023;Protypo Greek Centre;Oakleigh;N/A
2023;Pyramid Hill College;Pyramid Hill;0
2023;Rainbow P-12 College;Rainbow;23
2023;Red Cliffs Secondary College;Red Cliffs;22
2023;Red Rock Christian College;Sunbury;23
2023;Reflections Academy of Dance;Cranbourne;N/A
2023;Reservoir High School;Reservoir;26
2023;Richmond High School;Richmond;28
2023;Ringwood Secondary College;Ringwood;30
2023;River Nile School;North Melbourne;0
2023;Robinvale College;Robinvale;22
2023;Rochester Secondary College;Rochester;27
2023;Rosebud Secondary College;Rosebud;28
2023;Rosehill Secondary College;Niddrie;28
2023;Rowville Secondary College;Rowville;26
2023;Roxburgh College;Roxburgh Park;24
2023;Rushworth P-12 College;Rushworth;24
2023;Rutherglen High School;Rutherglen;24
2023;Ruyton Girls School;Kew;37
2023;Sacre Coeur;Glen Iris;36
2023;Sacred Heart College Geelong;Newtown;32
2023;Sacred Heart College Kyneton;Kyneton;29
2023;Sacred Heart College Yarrawonga;Yarrawonga;27
2023;Sacred Heart Girls College;Hughesdale;32
2023;Saint Ignatius College;Drysdale;30
2023;Sale College;Sale;26
2023;Salesian College Chadstone;Chadstone;32
2023;Salesian College Sunbury;Sunbury;28
2023;Sandringham College;Sandringham;30
2023;Santa Maria College;Northcote;30
2023;Scoresby Secondary College;Scoresby;27
2023;Scotch College;Hawthorn;34
2023;SEDA College;Hawthorn East;0
2023;Seymour College;Seymour;25
2023;Shelford Girls Grammar;Caulfield;34
2023;Shepparton Adult and Community Education;Shepparton;0
2023;Shepparton Christian College;Shepparton;26
2023;Sherbrooke Community School;Sassafras;26
2023;Siena College;Camberwell;34
2023;Simonds Catholic College;Fitzroy North;28
2023;Sirius College Broadmeadows Campus;Broadmeadows;31
2023;Sirius College Dandenong Campus;Keysborough;30
2023;Sirius College Ibrahim Dellal Campus Sunshine;Sunshine West;31
2023;Sirius College Meadow Fair Campus;Broadmeadows;30
2023;Somerville Secondary College;Somerville;28
2023;South Oakleigh Secondary College;Oakleigh South;29
2023;South West Institute of TAFE;Warrnambool;0
2023;Southern Cross Grammar;Caroline Springs;31
2023;Springside West Secondary College;Fraser Rise;27
2023;Springvale Indo-Chinese Ethnic School Inc.;Springvale South;N/A
2023;St Albans Secondary College;St Albans;31
2023;St Aloysius College;North Melbourne;30
2023;St Andrews Christian College;Wantirna South;32
2023;St Annes College;Kialla;26
2023;St Arnaud Secondary College;St Arnaud;28
2023;St Augustines College;Kyabram;29
2023;St Bedes College;Mentone;31
2023;St Bernards College;Essendon;30
2023;St Brigids College;Horsham;27
2023;St Catherines School;Toorak;36
2023;St Columbas College;Essendon;31
2023;St Francis Catholic College;Melton West;N/A
2023;St Francis Xavier College;Beaconsfield;28
2023;St Helena Secondary College;Eltham North;29
2023;St Johns Greek Orthodox College;Preston;28
2023;St Johns Regional College;Dandenong;26
2023;St Josephs College Echuca;Echuca;29
