School;Location;Median_VCE_Score;Median_Price_2023
Albert Park College;ALBERT PARK;31;2097000
Alexandra Secondary College;ALEXANDRA;23;420000
Alkira Secondary College;CRANBOURNE NORTH;29;705000
Apollo Bay P-12 College;APOLLO BAY;31;1000000
Ashwood High School;ASHWOOD;32;1310000
Auburn High School;HAWTHORN EAST;31;2215000
Bacchus Marsh College;BACCHUS MARSH;25;657500
Baimbridge College;HAMILTON;24;402500
Bairnsdale Secondary College;BAIRNSDALE;26;432500
Balwyn High School;BALWYN NORTH;32;2220000
Bannockburn P-12 College;BANNOCKBURN;24;702500
Bass Coast College;WONTHAGGI;28;577500
Bayswater Secondary College;BAYSWATER;28;873500
Beaufort Secondary College;BEAUFORT;26;465000
Beaumaris Secondary College;BEAUMARIS;29;1865000
Beechworth Secondary College;BEECHWORTH;26;718000
Gisborne Secondary College;GISBORNE;26;975000
Gladstone Park Secondary College;GLADSTONE PARK;27;677500
Glen Waverley Secondary College;GLEN WAVERLEY;33;1750500
Gleneagles Secondary College;ENDEAVOUR HILLS;29;710000
Glenroy Secondary College;GLENROY;22;735000
Greensborough Secondary College;GREENSBOROUGH;22;938500
Grovedale College;GROVEDALE;25;630000
Hallam Secondary College;HALLAM;23;660000
Hampton Park Secondary College;HAMPTON PARK;29;645000
Hazel Glen College;DOREEN;26;700000
Healesville High School;HEALESVILLE;25;745000
Heathmont College;HEATHMONT;24;1028000
Highvale Secondary College;GLEN WAVERLEY;29;1750500
Homestead Senior Secondary College;POINT COOK;29;750000
Hopetoun P-12 College;HOPETOUN;24;220000
Hoppers Crossing Secondary College;HOPPERS CROSSING;27;625000
Horsham College;HORSHAM;31;399500
John Monash Science School;CLAYTON;35;1230000
Kambrya College;BERWICK;31;850000
Kerang Technical High School;KERANG;23;226500
Kew High School;KEW EAST;31;4600000
Koo Wee Rup Secondary College;KOO WEE RUP;28;640000
Koonung Secondary College;MONT ALBERT NORTH;32;1751500
Korumburra Secondary College;KORUMBURRA;25;476000
Kurunjang Secondary College;MELTON;25;456000
Kyneton High School;KYNETON;28;790000
Lakes Entrance Secondary College;LAKES ENTRANCE;24;525000
Lakeview Senior College;CAROLINE SPRINGS;28;670000
Lalor North Secondary College;EPPING;21;639000
Lalor Secondary College;LALOR;25;655000
Lara Secondary College;LARA;25;757500
Laverton P-12 College;LAVERTON;22;565000
Leongatha Secondary College;LEONGATHA;28;605000
Lilydale Heights College;LILYDALE;26;775000
Lilydale High School;LILYDALE;28;775000
Lorne P-12 College;LORNE;26;1824500
Lowanna College;NEWBOROUGH;24;375000
Lyndale Secondary College;DANDENONG NORTH;29;705000
Lyndhurst Secondary College;CRANBOURNE;30;633000
Macleod College;MACLEOD;28;1102500
Maffra Secondary College;MAFFRA;25;401000
Mallacoota P-12 College;MALLACOOTA;34;1120000
Manor Lakes P-12 College;WYNDHAM VALE;23;555000
Mansfield Secondary College;MANSFIELD;30;730000
Maribyrnong Secondary College;MARIBYRNONG;30;1055000
Maryborough Education Centre;MARYBOROUGH;26;387500
Matthew Flinders Girls Secondary College;GEELONG;27;830000
McClelland Secondary College;FRANKSTON;29;698000
McKinnon Secondary College;MCKINNON;33;1130000
Melba Secondary College;CROYDON;29;845500
Melbourne Girls College;RICHMOND;33;1340000
Melbourne High School;SOUTH YARRA;36;2700000
Melton Secondary College;MELTON;24;456000
Mentone Girls Secondary College;MENTONE;32;1436000
Mernda Central P-12 College;MERNDA;28;642500
Mildura Senior College;MILDURA;26;430500
Mill Park Secondary College;EPPING;26;639000
Mirboo North Secondary College;MIRBOO NORTH;27;575000
Monbulk College;MONBULK;25;815000
Monterey Secondary College;FRANKSTON NORTH;25;555000
Montmorency Secondary College;MONTMORENCY;30;1173500
Mooroolbark College;MOOROOLBARK;28;770500
Mordialloc College;MORDIALLOC;30;1355000
Mornington Secondary College;MORNINGTON;27;1050000
Mount Alexander 7-12 College;FLEMINGTON;29;1117500
Mount Beauty Secondary College;MOUNT BEAUTY;28;455000
Mount Clear College;MOUNT CLEAR;26;500000
Mount Eliza Secondary College;MOUNT ELIZA;29;1782500
Mount Ridley P-12 College;CRAIGIEBURN;25;646000
Mount Rowan Secondary College;WENDOUREE;27;470000
Mount Waverley Secondary College;MOUNT WAVERLEY;31;1407000
Myrtleford P-12 College;MYRTLEFORD;30;622000
Neerim District Secondary College;NEERIM SOUTH;23;707500
Newcomb Secondary College;NEWCOMB;26;544000
Nhill College;NHILL;25;232500
Noble Park Secondary College;NOBLE PARK;25;709000
Northcote High School;NORTHCOTE;31;1690000
Northern Bay P-12 College;CORIO;23;487500
Norwood Secondary College;RINGWOOD;28;1047500
Nossal High School;BERWICK;36;850000
Numurkah Secondary College;NUMURKAH;22;400000
Oberon High School;ARMSTRONG CREEK;29;675000
Officer Secondary College;OFFICER;25;700000
Orbost Secondary College;ORBOST;27;350000
Pakenham Secondary College;PAKENHAM;29;638000
Parkdale Secondary College;MORDIALLOC;29;1355000
Pascoe Vale Girls Secondary College;PASCOE VALE;26;897500
Patterson River Secondary College;SEAFORD;25;796500
Phoenix P-12 Community College;SEBASTOPOL;28;460000
Point Cook Senior Secondary College;POINT COOK;27;750000
Portland Secondary College;PORTLAND;27;432500
Princes Hill Secondary College;PRINCES HILL;31;1620000
Rainbow P-12 College;RAINBOW;23;152500
Red Cliffs Secondary College;RED CLIFFS;22;334000
Reservoir High School;RESERVOIR;26;815000
Richmond High School;RICHMOND;28;1340000
Ringwood Secondary College;RINGWOOD;30;1047500
Robinvale College;ROBINVALE;22;280000
Rochester Secondary College;ROCHESTER;27;250000
Rosebud Secondary College;ROSEBUD;28;710500
Rosehill Secondary College;NIDDRIE;28;903000
Rowville Secondary College;ROWVILLE;26;1050000
Roxburgh College;ROXBURGH PARK;24;670000
Rushworth P-12 College;RUSHWORTH;24;272500
Rutherglen High School;RUTHERGLEN;24;595000
Sale College;SALE;26;450000
Sandringham College;SANDRINGHAM;30;2090500
Scoresby Secondary College;SCORESBY;27;895000
Seymour College;SEYMOUR;25;520000
Somerville Secondary College;SOMERVILLE;28;750000
South Oakleigh Secondary College;OAKLEIGH SOUTH;29;1046000
Springside West Secondary College;FRASER RISE;27;700000
St Albans Secondary College;ST ALBANS;31;650000
St Helena Secondary College;ELTHAM NORTH;29;1046000
Staughton College;MELTON SOUTH;23;495000
Stawell Secondary College;STAWELL;23;325000
Strathmore Secondary College;STRATHMORE;30;1200000
Sunbury College;SUNBURY;27;637500
Sunbury Downs Secondary College;SUNBURY;29;637500
Sunshine College;SUNSHINE WEST;25;638000
Surf Coast Secondary College;TORQUAY;29;1300000
Suzanne Cory High School;WERRIBEE;35;587000
Swan Hill College;SWAN HILL;28;412000
Swinburne Senior Secondary College;HAWTHORN;27;2601000
Tallangatta Secondary College;TALLANGATTA;26;401500
Tarneit Senior College;TARNEIT;23;651000
Taylors Lakes Secondary College;TAYLORS LAKES;27;820000
Templestowe College;TEMPLESTOWE LOWER;29;1580000
The Grange P-12 College;HOPPERS CROSSING;25;625000
The Lakes South Morang College;SOUTH MORANG;24;710000
Thomastown Secondary College;THOMASTOWN;25;680000
Thornbury High School;THORNBURY;31;1250000
Timboon P-12 School;TIMBOON;28;558000
Trafalgar High School;TRAFALGAR;27;455000
Traralgon College;TRARALGON;25;449000
Tyrrell College;SEA LAKE;25;99500
University High School;PARKVILLE;31;2500000
Upper Yarra Secondary College;YARRA JUNCTION;25;693000
Upwey High School;UPWEY;27;810000
Vermont Secondary College;VERMONT;32;1200000
Viewbank College;VIEWBANK;31;1083000
Virtual School Victoria;THORNBURY;26;1250000
Wallan Secondary College;WALLAN;21;600000
Wangaratta High School;WANGARATTA;28;460000
Warragul Regional College;WARRAGUL;25;616500
Warrandyte High School;WARRANDYTE;24;1380000
